club_id,name,city,full_address,gps_lat,gps_lng,website_url,naver_map_url,size,num_instructors,years_of_existence,owns_boat,tec_diving,freediving,estimated_price_per_dive_krw,languages_spoken,certifications,contact_methods,feedback
15,The Blue Jeju Resort,Seogwipo,"479 Chilsimni-ro (Bomok-dong), Seogwipo-si, Jeju-do",33.2419995,126.60169343,,https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EB%8B%A4%EC%9D%B4%EB%B8%8C%EB%A6%AC%EC%A1%B0%ED%8A%B8,large,,,yes,yes,yes,,"Chinese, English, Korean",PADI,email:jeju.dive.resort@gmail.com;mobile_phone:+82-10-9757-5775,naver_blog::4:https://blog.naver.com/kimbomi007/223898498727
16,Blue In Dive,Seogwipo,"8260 Jungsangandong-ro (Hogeun-dong), Seogwipo-si, Jeju-do",33.26197263,126.53451445,http://www.blueinskinscuba.com,https://map.naver.com/p/search/%EB%B8%94%EB%A3%A8%EC%9D%B8%EB%8B%A4%EC%9D%B4%EB%B8%8C,medium,2,,yes,yes,yes,65000,"English, Korean",PADI,email:bluein_scuba@naver.com;mobile_phone:+82-10-9426-0032,kakao_map:5.0:3:https://place.map.kakao.com/1887860384;naver_blog::4:https://blog.naver.com/atb04128/224349491990
17,OceanCare,Seogwipo,"2524 Beonyeong-ro, Pyoseon-myeon (Seongeup-ri), Seogwipo-si, Jeju-do",33.40599997,126.776625,https://www.oceancare.or.kr,https://map.naver.com/p/search/%EC%98%A4%EC%85%98%EC%BC%80%EC%96%B4,small,,,no,no,no,,Korean,PADI,email:badaya@oceancare.or.kr;mobile_phone:+82-10-4756-5124,
18,Ocean Tree,Seogwipo,"188 World Cup-ro (Gangjeong-dong), Seogwipo-si, Jeju-do",33.23287798,126.50531826,http://oceantree.co.kr,https://map.naver.com/p/search/%EC%98%A4%EC%85%98%ED%8A%B8%EB%A6%AC,large,6,,no,no,no,70000,,PADI,email:oceantree7@naver.com;mobile_phone:+82-10-3692-7252;kakaotalk:oceantree7,kakao_map:5.0:3:https://place.map.kakao.com/972911142;naver_blog::4:https://blog.naver.com/yenyo2/224300242946
19,Dive Stay Resort,Seogwipo,"35 Hahyojungang-ro (Hahyo-dong), Seogwipo-si, Jeju-do",33.25368615,126.61974191,http://www.divestay.co.kr,https://map.naver.com/p/search/%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%8A%A4%ED%85%8C%EC%9D%B4,small,,,,,,,,,mobile_phone:+82-10-6390-3452,
20,My Divers,Jeju City,"14-28 Sinchonbuk 3-gil, Jocheon-eup (Sinchon-ri), Jeju-si, Jeju-do",33.53767872,126.61717669,http://www.mydivers.co.kr,https://map.naver.com/p/search/%EB%A7%88%EC%9D%B4%EB%8B%A4%EC%9D%B4%EB%B2%84%EC%8A%A4,small,,,no,yes,no,,Korean,PADI,email:yryryt@naver.com,
21,MDI Scuba,Seogwipo,"1F, 101 Chilsimni-ro (Seogwi-dong), Seogwipo-si, Jeju-do",33.24138957,126.56599299,https://mdiscuba.wixsite.com/jeju,https://map.naver.com/p/search/%EC%97%A0%EB%94%94%EC%95%84%EC%9D%B4%EC%8A%A4%EC%BF%A0%EB%B2%84,medium,,,yes,yes,yes,60000,"English, Korean",PADI,email:mdiscuba@naver.com;mobile_phone:+82-10-3706-5036,naver_blog::4:https://blog.naver.com/nonovely/223947004943
22,Sea Sky Jeju,Jeju City,"20 Dodu 3-gil (Dodu 1-dong), Jeju-si, Jeju-do",33.50439309,126.47014246,https://blog.naver.com/seaskyjeju,https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EB%B0%94%EB%8B%A4%ED%95%98%EB%8A%98%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%84%BC%ED%84%B0,large,5,,yes,no,no,,"English, Korean",PADI,email:seaskyjeju@naver.com;mobile_phone:+82-10-8222-2664,
23,Haevit Dive,Seogwipo,"1F, 123 Chilsimni-ro (Seogwi-dong), Seogwipo-si, Jeju-do",33.24306127,126.56756954,http://haevitdive.com,https://map.naver.com/p/search/%ED%95%B4%EB%B9%9B%EB%8B%A4%EC%9D%B4%EB%B8%8C,medium,4,,yes,no,no,50000,"English, Korean",PADI,email:camu521@naver.com;mobile_phone:+82-10-3032-1970,kakao_map:5.0:3:https://place.map.kakao.com/1354596561;naver_blog::4:https://blog.naver.com/korean_zorba/224349679775
24,Scuba Life,Seogwipo,"7939 Jungsangandong-ro (Donghong-dong), Seogwipo-si, Jeju-do",33.26589207,126.5682706,https://www.scubalife.net,https://map.naver.com/p/search/%EC%8A%A4%EC%BF%A0%EB%B2%84%EB%9D%BC%EC%9D%B4%ED%94%84,small,,,no,yes,yes,,"Chinese, Korean",PADI,email:scubaskin@naver.com;mobile_phone:+82-10-9120-1114,
25,Seogwipo Dive Center,Seogwipo,"2F, 65-13 Haryemangjangpo-ro, Namwon-eup (Harye-ri), Seogwipo-si, Jeju-do",33.25975717,126.63953011,https://seogwipodive.com,https://map.naver.com/p/search/%EC%84%9C%EA%B7%80%ED%8F%AC%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%84%BC%ED%84%B0,medium,,12,yes,no,no,75000,Korean,PADI,email:kny4176@naver.com;mobile_phone:+82-10-4255-4176,kakao_map:5.0:1:https://place.map.kakao.com/639348916
26,Mobydick Dive,Seogwipo,"12 Namseongjung-ro 121beon-gil (Seohong-dong), Seogwipo-si, Jeju-do",33.24276538,126.55550415,http://mobydickdive.co.kr,https://map.naver.com/p/search/%EB%AA%A8%EB%B9%84%EB%94%95%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%84%BC%ED%84%B0,medium,4,,yes,yes,yes,80000,"Chinese, English, Korean","CMAS, NAUI, PADI, SDI, TDI",email:youngdoheo@gmail.com;mobile_phone:+82-10-9520-0038,naver_blog::4:https://blog.naver.com/ingijjung/224253699396
27,Yong Dive,Seogwipo,"1F Crystal Hotel, 39-1 Soldongsan-ro 10beon-gil (Seogwi-dong), Seogwipo-si, Jeju-do",33.24125001,126.5627018,,https://map.naver.com/p/search/%EC%9A%A9%EB%8B%A4%EC%9D%B4%EB%B8%8C,medium,4,,yes,no,no,,"English, Korean",PADI,email:yongdivecenter@naver.com;mobile_phone:+82-10-4441-7762;whatsapp:+82-10-4441-7762,kakao_map:5.0:2:https://place.map.kakao.com/860986935;naver_blog::4:https://blog.naver.com/tadadadak_/224306498035
28,Blue Whale Dive,Seogwipo,"35 Soam-ro (Seogwi-dong), Seogwipo-si, Jeju-do",33.24494316,126.56944127,,https://map.naver.com/p/search/%EB%B8%94%EB%A3%A8%EC%9B%A8%EC%9D%BC%EB%8B%A4%EC%9D%B4%EB%B8%8C,small,,,no,,yes,,"English, Korean",PADI,email:sangwonwon@naver.com;mobile_phone:+82-10-3118-0410,kakao_map:5.0:2:https://place.map.kakao.com/692022430;naver_blog::4:https://blog.naver.com/duck_life_is/224358892980
29,Start Scuba School,Seogwipo,"1F, 201 Chilsimni-ro (Donghong-dong), Seogwipo-si, Jeju-do",33.24675887,126.57410545,https://startscuba.imweb.me,https://map.naver.com/p/search/%EC%8A%A4%ED%83%80%ED%8A%B8%EC%8A%A4%EC%BF%A0%EB%B2%84%EB%8B%A4%EC%9D%B4%EB%B9%99,medium,3,,yes,yes,no,80000,"English, Korean",PADI,email:scubadiving@naver.com;mobile_phone:+82-10-3058-1993,naver_blog::4:https://blog.naver.com/tpdl0323/224030109518
30,Cool Dive,Seogwipo,"39-1 Soldongsan-ro 10beon-gil (Seogwi-dong), Seogwipo-si, Jeju-do",33.24126988,126.56271243,https://cooldive.co.kr,https://map.naver.com/p/search/%EC%BF%A8%EB%8B%A4%EC%9D%B4%EB%B8%8C,small,2,7,yes,yes,yes,70000,"English, Korean",PADI,email:cooldivejeju@naver.com;mobile_phone:+82-10-9399-0096,kakao_map:5.0:3:https://place.map.kakao.com/1234310151;naver_blog::4:https://blog.naver.com/pjjy4996/223936337757
31,Scubee Dive,Seogwipo,"1F, 14 Chilsimni-ro 317beon-gil (Topyeong-dong), Seogwipo-si, Jeju-do",33.24708553,126.58783346,http://scubeedive.com,https://map.naver.com/p/search/%EC%8A%A4%EC%BF%A0%EB%B9%84%EB%8B%A4%EC%9D%B4%EB%B8%8C,medium,6,5,yes,yes,yes,60000,"English, Korean",PADI,email:scubeedive@naver.com;mobile_phone:+82-10-2312-9603,naver_blog::4:https://blog.naver.com/leehong2424/224075281775
32,Badadive,Seogwipo,"5 Donghong-ro 12beon-gil (Seogwi-dong), Seogwipo-si, Jeju-do",33.24979698,126.56849999,https://badadive.com,https://map.naver.com/p/search/%EB%B0%94%EB%8B%A4%EB%8B%A4%EC%9D%B4%EB%B8%8C,small,1,,no,yes,no,65000,"English, Korean",PADI,email:ojh9922@hanmail.net;mobile_phone:+82-10-4601-7622,kakao_map:3.0:2:https://place.map.kakao.com/1012962688;naver_blog::4:https://blog.naver.com/suhuii9/224100224858
33,Dive Together Resort,Seogwipo,"17-1 Cheonjiyeon-ro (Seogwi-dong), Seogwipo-si, Jeju-do",33.2416322,126.56447138,https://divetogether.co.kr,https://map.naver.com/p/search/%EB%8B%A4%EC%9D%B4%EB%B8%8C%ED%88%AC%EA%B2%8C%EB%8D%94,medium,,,yes,,,60000,Korean,PADI,mobile_phone:+82-10-4718-7070,kakao_map:5.0:2:https://place.map.kakao.com/1021388163;naver_blog::4:https://blog.naver.com/glori-sunny/223927410868
34,Seaflow,Seogwipo,"B1, 69 Sinjung-ro 13beon-gil (Seoho-dong), Seogwipo-si, Jeju-do",33.25746984,126.51284212,https://www.seaflow.kr,https://map.naver.com/p/search/%EC%94%A8%ED%94%8C%EB%A1%9C%EC%9A%B0,small,2,,no,yes,yes,60000,"English, Korean",PADI,email:heesu941007@naver.com;mobile_phone:+82-10-9117-8342;kakaotalk:liamheesu,kakao_map:5.0:2:https://place.map.kakao.com/932982348;naver_blog::4:https://blog.naver.com/mumu2684/224247143932
35,Home Dive,Seogwipo,"16-4 Iljudong-ro 8625beon-gil (Donghong-dong), Seogwipo-si, Jeju-do",33.25310986,126.56625162,,https://map.naver.com/p/search/%ED%99%88%EB%8B%A4%EC%9D%B4%EB%B8%8C,small,1,,no,no,no,,Korean,PADI,email:homedive@naver.com;mobile_phone:+82-10-5024-8180,
36,ECO Divers,Seogwipo,"Rm 102, 1F Jangwon Bldg, 145 Chilsimni-ro (Seogwi-dong), Seogwipo-si, Jeju-do",33.24437881,126.56894079,http://www.ecodivers.co.kr,https://map.naver.com/p/search/%EC%97%90%EC%BD%94%EB%8B%A4%EC%9D%B4%EB%B2%84%EC%8A%A4,small,,,,no,yes,,Korean,PADI,email:free_yh@nate.com;mobile_phone:+82-10-9537-3373;kakaotalk:010-9537-3373,kakao_map:5.0:3:https://place.map.kakao.com/1634125766;naver_blog::4:https://blog.naver.com/jisuning92/224284856830
37,Jamsootaki Dive Club,Seogwipo,"7 Cheonjiyeon-ro 41beon-gil (Seogwi-dong), Seogwipo-si, Jeju-do",33.2419198,126.5616902,,https://map.naver.com/p/search/%EC%9E%A0%EC%88%98%ED%83%80%EA%B8%B0%EB%8B%A4%EC%9D%B4%EB%B8%8C%ED%81%B4%EB%9F%BD,small,,,,no,no,,,PADI,email:junyone@naver.com;mobile_phone:+82-10-6393-0412;kakaotalk:diverjune,
